"id","record","phone","address"
"123","博士","18888888888","安徽大学文典阁一楼"
"1638089590712","硕士","90561234567","阳光花园12号"
"1638089590713","本科","90782345678","幸福街35号"
"1638089590714","博士","90233456789","绿草苑78号"
"1638089590715","本科","90456789012","蓝天公寓56号"
"1638089590716","硕士","90123456789","和平路90号"
"1638089590717","本科","90876543210","锦绣园29号"
"1638089590718","博士","90678901234","香榭里45号"
"1638089590719","硕士","90345678901","世纪花城67号"
"1638089590720","本科","90901234567","美丽家园89号"
"1638089590721","硕士","90456789012","天使街23号"
